Emotion,Value
angry,4
disgust,0
scared,8
happy,1
sad,7
surprised,5
neutral,75
angry,7
disgust,0
scared,9
happy,3
sad,9
surprised,8
neutral,64
angry,11
disgust,0
scared,6
happy,2
sad,13
surprised,8
neutral,60
angry,11
disgust,0
scared,10
happy,3
sad,10
surprised,9
neutral,56
angry,10
disgust,0
scared,10
happy,2
sad,11
surprised,8
neutral,60
angry,12
disgust,0
scared,6
happy,2
sad,10
surprised,7
neutral,63
angry,5
disgust,0
scared,8
happy,2
sad,11
surprised,5
neutral,68
angry,6
disgust,0
scared,7
happy,2
sad,9
surprised,6
neutral,70
angry,9
disgust,0
scared,8
happy,1
sad,12
surprised,5
neutral,65
angry,7
disgust,0
scared,9
happy,1
sad,11
surprised,7
neutral,65
angry,8
disgust,0
scared,7
happy,1
sad,10
surprised,5
neutral,69
angry,15
disgust,0
scared,8
happy,4
sad,14
surprised,9
neutral,51
angry,5
disgust,0
scared,3
happy,5
sad,9
surprised,9
neutral,70
angry,10
disgust,0
scared,6
happy,6
sad,11
surprised,9
neutral,58
angry,10
disgust,0
scared,10
happy,4
sad,15
surprised,12
neutral,48
angry,12
disgust,0
scared,7
happy,3
sad,15
surprised,10
neutral,53
angry,11
disgust,0
scared,10
happy,3
sad,14
surprised,11
neutral,51
angry,12
disgust,0
scared,9
happy,4
sad,13
surprised,11
neutral,50
angry,8
disgust,0
scared,7
happy,3
sad,13
surprised,8
neutral,61
angry,7
disgust,0
scared,7
happy,4
sad,10
surprised,7
neutral,64
angry,6
disgust,0
scared,8
happy,2
sad,11
surprised,6
neutral,68
angry,9
disgust,0
scared,8
happy,3
sad,19
surprised,7
neutral,55
angry,10
disgust,0
scared,9
happy,4
sad,16
surprised,7
neutral,54
angry,15
disgust,1
scared,11
happy,3
sad,17
surprised,7
neutral,48
angry,7
disgust,0
scared,6
happy,2
sad,10
surprised,6
neutral,68
angry,10
disgust,0
scared,10
happy,2
sad,18
surprised,4
neutral,55
angry,9
disgust,0
scared,8
happy,1
sad,18
surprised,6
neutral,58
angry,11
disgust,0
scared,9
happy,2
sad,17
surprised,9
neutral,52
angry,13
disgust,0
scared,8
happy,1
sad,20
surprised,5
neutral,52
angry,12
disgust,0
scared,11
happy,2
sad,21
surprised,8
neutral,45
angry,13
disgust,0
scared,10
happy,1
sad,19
surprised,7
neutral,49
angry,3
disgust,0
scared,3
happy,8
sad,10
surprised,4
neutral,71
angry,6
disgust,1
scared,7
happy,12
sad,12
surprised,8
neutral,55
angry,11
disgust,1
scared,13
happy,9
sad,19
surprised,10
neutral,37
angry,9
disgust,1
scared,11
happy,12
sad,22
surprised,10
neutral,37
angry,8
disgust,1
scared,11
happy,14
sad,17
surprised,8
neutral,42
angry,7
disgust,1
scared,15
happy,12
sad,19
surprised,8
neutral,37
angry,7
disgust,1
scared,13
happy,15
sad,18
surprised,9
neutral,38
angry,8
disgust,1
scared,14
happy,11
sad,20
surprised,8
neutral,38
angry,8
disgust,0
scared,7
happy,19
sad,8
surprised,5
neutral,53
angry,7
disgust,1
scared,9
happy,12
sad,11
surprised,5
neutral,56
angry,6
disgust,0
scared,7
happy,11
sad,9
surprised,6
neutral,61
angry,8
disgust,0
scared,10
happy,15
sad,10
surprised,8
neutral,49
angry,5
disgust,1
scared,8
happy,11
sad,9
surprised,6
neutral,60
angry,7
disgust,0
scared,9
happy,10
sad,11
surprised,4
neutral,58
angry,7
disgust,1
scared,10
happy,11
sad,12
surprised,7
neutral,53
angry,5
disgust,0
scared,9
happy,14
sad,11
surprised,9
neutral,51
angry,5
disgust,0
scared,9
happy,17
sad,10
surprised,8
neutral,50
angry,7
disgust,1
scared,8
happy,24
sad,11
surprised,7
neutral,44
angry,6
disgust,0
scared,7
happy,16
sad,11
surprised,6
neutral,54
angry,5
disgust,1
scared,8
happy,21
sad,11
surprised,6
neutral,48
angry,6
disgust,1
scared,6
happy,29
sad,7
surprised,5
neutral,46
angry,5
disgust,0
scared,6
happy,19
sad,12
surprised,3
neutral,54
angry,5
disgust,0
scared,6
happy,29
sad,12
surprised,3
neutral,46
angry,7
disgust,1
scared,7
happy,40
sad,8
surprised,5
neutral,31
angry,5
disgust,1
scared,5
happy,36
sad,10
surprised,3
neutral,40
angry,6
disgust,1
scared,5
happy,43
sad,6
surprised,4
neutral,34
angry,6
disgust,1
scared,8
happy,30
sad,11
surprised,6
neutral,38
angry,5
disgust,2
scared,6
happy,43
sad,9
surprised,5
neutral,31
angry,5
disgust,2
scared,5
happy,44
sad,7
surprised,4
neutral,32
angry,6
disgust,2
scared,8
happy,30
sad,14
surprised,6
neutral,34
angry,6
disgust,1
scared,8
happy,31
sad,11
surprised,7
neutral,36
angry,6
disgust,1
scared,8
happy,31
sad,14
surprised,6
neutral,34
angry,5
disgust,1
scared,8
happy,33
sad,10
surprised,4
neutral,39
angry,5
disgust,1
scared,6
happy,30
sad,9
surprised,4
neutral,44
angry,8
disgust,1
scared,11
happy,21
sad,17
surprised,9
neutral,32
angry,5
disgust,1
scared,5
happy,44
sad,9
surprised,4
neutral,31
angry,9
disgust,2
scared,8
happy,30
sad,16
surprised,6
neutral,29
angry,5
disgust,1
scared,7
happy,23
sad,18
surprised,3
neutral,41
angry,6
disgust,1
scared,10
happy,24
sad,20
surprised,4
neutral,35
angry,5
disgust,1
scared,6
happy,31
sad,13
surprised,4
neutral,39
angry,3
disgust,2
scared,3
happy,32
sad,9
surprised,5
neutral,45
angry,4
disgust,2
scared,5
happy,29
sad,15
surprised,5
neutral,40
angry,6
disgust,1
scared,7
happy,20
sad,17
surprised,6
neutral,42
angry,5
disgust,2
scared,5
happy,23
sad,13
surprised,3
neutral,49
angry,8
disgust,2
scared,7
happy,22
sad,11
surprised,4
neutral,45
angry,6
disgust,1
scared,7
happy,21
sad,10
surprised,5
neutral,49
angry,7
disgust,1
scared,9
happy,22
sad,11
surprised,6
neutral,44
angry,6
disgust,1
scared,8
happy,29
sad,12
surprised,6
neutral,37
angry,9
disgust,1
scared,11
happy,27
sad,15
surprised,7
neutral,31
angry,11
disgust,1
scared,9
happy,26
sad,9
surprised,5
neutral,39
angry,11
disgust,3
scared,14
happy,36
sad,9
surprised,7
neutral,19
angry,14
disgust,2
scared,13
happy,21
sad,12
surprised,12
neutral,27
angry,19
disgust,3
scared,9
happy,36
sad,10
surprised,5
neutral,17
angry,19
disgust,4
scared,12
happy,26
sad,11
surprised,5
neutral,22
angry,21
disgust,6
scared,12
happy,26
sad,11
surprised,5
neutral,19
angry,16
disgust,2
scared,6
happy,21
sad,11
surprised,4
neutral,40
angry,33
disgust,7
scared,9
happy,20
sad,9
surprised,2
neutral,20
angry,27
disgust,4
scared,7
happy,17
sad,10
surprised,3
neutral,31
angry,23
disgust,4
scared,14
happy,20
sad,10
surprised,6
neutral,24
angry,23
disgust,4
scared,8
happy,20
sad,11
surprised,5
neutral,30
angry,21
disgust,4
scared,12
happy,20
sad,13
surprised,5
neutral,25
angry,24
disgust,6
scared,12
happy,20
sad,11
surprised,5
neutral,22
angry,26
disgust,5
scared,14
happy,19
sad,13
surprised,5
neutral,17
angry,22
disgust,3
scared,11
happy,14
sad,11
surprised,7
neutral,33
angry,20
disgust,3
scared,11
happy,16
sad,12
surprised,5
neutral,33
angry,22
disgust,3
scared,15
happy,13
sad,14
surprised,5
neutral,28
angry,17
disgust,2
scared,15
happy,9
sad,15
surprised,8
neutral,33
angry,15
disgust,1
scared,14
happy,5
sad,17
surprised,5
neutral,42
angry,17
disgust,1
scared,13
happy,4
sad,17
surprised,5
neutral,43
angry,19
disgust,0
scared,13
happy,5
sad,18
surprised,8
neutral,37
angry,13
disgust,0
scared,14
happy,2
sad,19
surprised,7
neutral,44
angry,13
disgust,0
scared,17
happy,3
sad,19
surprised,8
neutral,40
angry,7
disgust,0
scared,8
happy,1
sad,17
surprised,3
neutral,63
angry,7
disgust,0
scared,4
happy,2
sad,13
surprised,4
neutral,70
angry,9
disgust,0
scared,7
happy,3
sad,15
surprised,5
neutral,60
angry,11
disgust,0
scared,10
happy,2
sad,24
surprised,3
neutral,51
angry,9
disgust,0
scared,9
happy,2
sad,18
surprised,3
neutral,59
angry,10
disgust,0
scared,8
happy,1
sad,23
surprised,3
neutral,56
angry,9
disgust,0
scared,8
happy,1
sad,19
surprised,3
neutral,59
angry,8
disgust,0
scared,7
happy,1
sad,22
surprised,4
neutral,58
angry,11
disgust,0
scared,11
happy,1
sad,20
surprised,4
neutral,52
angry,8
disgust,0
scared,9
happy,1
sad,18
surprised,3
neutral,61
angry,7
disgust,0
scared,8
happy,1
sad,17
surprised,4
neutral,62
angry,7
disgust,0
scared,10
happy,1
sad,16
surprised,5
neutral,62
angry,9
disgust,0
scared,10
happy,1
sad,18
surprised,4
neutral,59
angry,10
disgust,0
scared,9
happy,1
sad,19
surprised,3
neutral,57
angry,6
disgust,0
scared,9
happy,1
sad,12
surprised,2
neutral,70
angry,10
disgust,0
scared,10
happy,1
sad,13
surprised,3
neutral,63
angry,9
disgust,0
scared,8
happy,1
sad,12
surprised,3
neutral,68
angry,7
disgust,0
scared,8
happy,1
sad,15
surprised,5
neutral,64
angry,6
disgust,0
scared,8
happy,1
sad,12
surprised,5
neutral,68
angry,5
disgust,0
scared,5
happy,1
sad,8
surprised,4
neutral,78
angry,6
disgust,0
scared,7
happy,1
sad,12
surprised,4
neutral,70
angry,6
disgust,0
scared,6
happy,1
sad,12
surprised,3
neutral,72
angry,9
disgust,0
scared,6
happy,1
sad,12
surprised,3
neutral,68
angry,7
disgust,0
scared,6
happy,1
sad,10
surprised,3
neutral,73
angry,11
disgust,0
scared,7
happy,1
sad,12
surprised,4
neutral,65
angry,5
disgust,0
scared,6
happy,1
sad,12
surprised,3
neutral,73
angry,7
disgust,0
scared,7
happy,1
sad,12
surprised,3
neutral,69
angry,3
disgust,0
scared,2
happy,2
sad,6
surprised,3
neutral,83
angry,9
disgust,0
scared,5
happy,2
sad,9
surprised,4
neutral,70
angry,6
disgust,0
scared,7
happy,1
sad,12
surprised,4
neutral,70
angry,6
disgust,0
scared,7
happy,1
sad,11
surprised,5
neutral,69
angry,7
disgust,0
scared,6
happy,1
sad,10
surprised,3
neutral,72
angry,6
disgust,0
scared,8
happy,1
sad,12
surprised,5
neutral,67
angry,6
disgust,0
scared,8
happy,1
sad,12
surprised,5
neutral,68
angry,7
disgust,0
scared,7
happy,2
sad,10
surprised,4
neutral,70
angry,7
disgust,0
scared,8
happy,2
sad,11
surprised,3
neutral,68
angry,9
disgust,0
scared,6
happy,3
sad,10
surprised,6
neutral,67
angry,9
disgust,0
scared,8
happy,3
sad,12
surprised,5
neutral,63
angry,8
disgust,0
scared,7
happy,5
sad,11
surprised,6
neutral,63
angry,14
disgust,0
scared,13
happy,8
sad,15
surprised,10
neutral,40
angry,11
disgust,0
scared,11
happy,10
sad,13
surprised,11
neutral,44
angry,12
disgust,0
scared,12
happy,7
sad,15
surprised,9
neutral,45
angry,13
disgust,0
scared,14
happy,6
sad,15
surprised,10
neutral,42
angry,16
disgust,0
scared,12
happy,7
sad,19
surprised,10
neutral,36
angry,14
disgust,0
scared,11
happy,8
sad,15
surprised,8
neutral,45
angry,16
disgust,0
scared,10
happy,6
sad,16
surprised,5
neutral,47
angry,11
disgust,0
scared,7
happy,4
sad,15
surprised,6
neutral,57
angry,11
disgust,0
scared,9
happy,4
sad,16
surprised,6
neutral,54
angry,9
disgust,0
scared,8
happy,4
sad,11
surprised,6
neutral,61
angry,9
disgust,0
scared,9
happy,6
sad,11
surprised,10
neutral,56
angry,8
disgust,0
scared,11
happy,8
sad,7
surprised,12
neutral,54
angry,9
disgust,0
scared,9
happy,5
sad,11
surprised,8
neutral,58
angry,9
disgust,0
scared,7
happy,3
sad,9
surprised,7
neutral,65
angry,8
disgust,0
scared,7
happy,7
sad,9
surprised,9
neutral,59
angry,9
disgust,0
scared,8
happy,6
sad,10
surprised,10
neutral,57
angry,7
disgust,0
scared,7
happy,3
sad,13
surprised,5
neutral,65
angry,4
disgust,0
scared,4
happy,5
sad,6
surprised,6
neutral,74
angry,6
disgust,0
scared,4
happy,3
sad,14
surprised,4
neutral,69
angry,6
disgust,0
scared,5
happy,3
sad,8
surprised,5
neutral,72
angry,9
disgust,0
scared,5
happy,2
sad,8
surprised,3
neutral,73
angry,12
disgust,0
scared,5
happy,1
sad,9
surprised,3
neutral,70
angry,8
disgust,0
scared,6
happy,1
sad,10
surprised,4
neutral,72
angry,8
disgust,0
scared,8
happy,1
sad,14
surprised,5
neutral,64
angry,12
disgust,0
scared,7
happy,2
sad,15
surprised,5
neutral,60
angry,9
disgust,0
scared,6
happy,1
sad,14
surprised,4
neutral,66
angry,15
disgust,0
scared,8
happy,2
sad,16
surprised,4
neutral,55
angry,13
disgust,0
scared,8
happy,1
sad,17
surprised,3
neutral,57
angry,11
disgust,0
scared,7
happy,1
sad,16
surprised,2
neutral,63
angry,16
disgust,0
scared,7
happy,1
sad,16
surprised,2
neutral,57
angry,10
disgust,0
scared,7
happy,1
sad,15
surprised,2
neutral,66
angry,16
disgust,0
scared,8
happy,1
sad,16
surprised,2
neutral,56
angry,12
disgust,0
scared,8
happy,1
sad,18
surprised,2
neutral,59
angry,14
disgust,1
scared,8
happy,1
sad,20
surprised,2
neutral,54
angry,12
disgust,0
scared,8
happy,1
sad,15
surprised,2
neutral,63
angry,11
disgust,0
scared,9
happy,1
sad,16
surprised,2
neutral,61
angry,8
disgust,0
scared,7
happy,1
sad,15
surprised,3
neutral,66
angry,9
disgust,0
scared,9
happy,1
sad,22
surprised,3
neutral,56
angry,10
disgust,0
scared,10
happy,1
sad,20
surprised,4
neutral,55
angry,11
disgust,0
scared,14
happy,2
sad,19
surprised,5
neutral,49
angry,9
disgust,0
scared,6
happy,5
sad,17
surprised,5
neutral,59
angry,5
disgust,0
scared,8
happy,7
sad,13
surprised,8
neutral,58
angry,7
disgust,0
scared,12
happy,6
sad,14
surprised,11
neutral,49
angry,8
disgust,1
scared,13
happy,6
sad,17
surprised,6
neutral,50
angry,11
disgust,1
scared,14
happy,8
sad,12
surprised,13
neutral,41
angry,10
disgust,0
scared,13
happy,3
sad,18
surprised,8
